country_code,country_name,gdp_per_capita,category,default_coefficient
LUX,Luxembourg,146818,premium,1.10
IRL,Ireland,129132,premium,1.10
BMU,Bermuda,125842,premium,1.10
CHE,Switzerland,111047,premium,1.10
ISL,Iceland,98150,premium,1.10
CYM,Cayman Islands,97583,premium,1.10
SGP,Singapore,94481,premium,1.10
NOR,Norway,91884,premium,1.10
USA,United States,89599,usa,1.00
DNK,Denmark,76581,high_income,0.90
MAC,Macau,74921,high_income,0.90
NLD,Netherlands,73174,high_income,0.90
QAT,Qatar,71441,high_income,0.90
AUS,Australia,65946,high_income,0.90
SWE,Sweden,62036,high_income,0.90
AUT,Austria,61694,high_income,0.90
BEL,Belgium,60418,high_income,0.90
ISR,Israel,60009,high_income,0.90
DEU,Germany,59925,high_income,0.90
HKG,Hong Kong,56844,high_income,0.90
GBR,United Kingdom,56661,high_income,0.90
FIN,Finland,56084,high_income,0.90
CAN,Canada,54935,high_income,0.90
ARE,United Arab Emirates,51348,high_income,0.90
NZL,New Zealand,49383,upper_middle,0.75
MLT,Malta,49277,upper_middle,0.75
FRA,France,48982,upper_middle,0.75
ITA,Italy,43161,upper_middle,0.75
CYP,Cyprus,42413,upper_middle,0.75
BHS,Bahamas,39726,upper_middle,0.75
ESP,Spain,38040,upper_middle,0.75
TWN,Taiwan,37827,upper_middle,0.75
SVN,Slovenia,37178,upper_middle,0.75
KOR,South Korea,35962,upper_middle,0.75
SAU,Saudi Arabia,35231,upper_middle,0.75
CZE,Czechia,35161,upper_middle,0.75
JPN,Japan,34713,upper_middle,0.75
VGB,British Virgin Islands,34200,upper_middle,0.75
EST,Estonia,34041,upper_middle,0.75
MSR,Montserrat,34000,upper_middle,0.75
BRN,Brunei,33858,upper_middle,0.75
LTU,Lithuania,32982,upper_middle,0.75
PRT,Portugal,31415,upper_middle,0.75
GUY,Guyana,31378,upper_middle,0.75
KWT,Kuwait,30805,upper_middle,0.75
TCA,Turks and Caicos Islands,30349,upper_middle,0.75
BHR,Bahrain,29253,upper_middle,0.75
AIA,Anguilla,28850,upper_middle,0.75
SVK,Slovakia,28524,upper_middle,0.75
POL,Poland,28485,upper_middle,0.75
GRC,Greece,27170,upper_middle,0.75
HRV,Croatia,26958,upper_middle,0.75
BRB,Barbados,25927,upper_middle,0.75
HUN,Hungary,25916,upper_middle,0.75
LVA,Latvia,25630,upper_middle,0.75
URY,Uruguay,24380,lower_middle,0.50
ROU,Romania,22436,lower_middle,0.50
ATG,Antigua and Barbuda,22314,lower_middle,0.50
KNA,Saint Kitts and Nevis,22158,lower_middle,0.50
SYC,Seychelles,21956,lower_middle,0.50
BGR,Bulgaria,20426,lower_middle,0.50
PAN,Panama,19802,lower_middle,0.50
PLW,Palau,19456,lower_middle,0.50
OMN,Oman,19119,lower_middle,0.50
CRI,Costa Rica,19104,lower_middle,0.50
MDV,Maldives,18684,lower_middle,0.50
TUR,Turkey,18198,lower_middle,0.50
TTO,Trinidad and Tobago,18121,lower_middle,0.50
RUS,Russia,17446,lower_middle,0.50
CHL,Chile,17181,lower_middle,0.50
SRB,Serbia,15322,lower_middle,0.50
MNE,Montenegro,14986,lower_middle,0.50
KAZ,Kazakhstan,14723,lower_middle,0.50
LCA,Saint Lucia,14647,lower_middle,0.50
ARG,Argentina,14359,lower_middle,0.50
NRU,Nauru,14274,lower_middle,0.50
MEX,Mexico,13967,lower_middle,0.50
MYS,Malaysia,13901,lower_middle,0.50
CHN,China,13806,lower_middle,0.50
GRD,Grenada,12544,lower_middle,0.50
MUS,Mauritius,12519,lower_middle,0.50
DOM,Dominican Republic,11919,lower_middle,0.50
VCT,Saint Vincent and the Grenadines,11132,lower_middle,0.50
ALB,Albania,11108,lower_middle,0.50
TKM,Turkmenistan,10801,lower_middle,0.50
BRA,Brazil,10578,lower_middle,0.50
MKD,North Macedonia,10378,lower_middle,0.50
GEO,Georgia,10126,lower_middle,0.50
DMA,Dominica,9944,emerging,0.40
BIH,Bosnia and Herzegovina,9648,emerging,0.40
BLR,Belarus,9435,emerging,0.40
GAB,Gabon,9303,emerging,0.40
PER,Peru,9256,emerging,0.40
ARM,Armenia,8969,emerging,0.40
